name,maxplayers,minage,minplayers,minplaytime,playtime,yearpublished,category,mechanic,publisher,average,weightaverage,numberofweights,owned,position,usersrated,langdep,suggested1player,suggested2player,suggested3player,suggested4player,suggested5player,suggested6player,suggested7player,suggested8player,suggested9player,suggested10player,suggestedOver10player,suggestedPlayerAge
"Die Macher",5,14,3,240,240,1986,"Economic,Negotiation,Political","Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection","Hans im Glück Verlags-GmbH,Moskito Spiele,Valley Games, Inc.",7.66508,4.3477,719,5251,147,4498,No,NotRecommended,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,NotRecommended,14
"Dragonmaster",4,12,3,30,30,1981,"Card Game,Fantasy","Trick-taking","E.S. Lowe,Milton Bradley",6.60815,1.9423,52,1053,2541,478,Some,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,null
"Samurai",4,10,2,30,60,1998,"Abstract Strategy,Medieval","Area Control / Area Influence,Hand Management,Set Collection,Tile Placement","999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Fantasy Flight Games,Galakta,Hans im Glück Verlags-GmbH,Hobby Japan,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Wargames Club Publishing",7.44119,2.5085,1355,11870,150,12019,No,NotRecommended,Recommended,Best,Recommended,null,null,null,null,null,null,NotRecommended,10
"Tal der Könige",4,12,2,60,60,1992,"Ancient","Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Set Collection","KOSMOS",6.60675,2.6667,30,523,3191,314,No,NotRecommended,Recommended,Best,Best,null,null,null,null,null,null,NotRecommended,14
"Acquire",6,12,3,90,90,1964,"Economic","Hand Management,Stock Holding,Tile Placement","3M,Avalon Hill,Avalon Hill (Hasbro),Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc.",7.3583,2.5089,1515,18682,181,15195,No,NotRecommended,NotRecommended,Recommended,Best,Recommended,Recommended,null,null,null,null,NotRecommended,12
"Cathedral",2,8,2,20,20,1978,"Abstract Strategy","Area Enclosure,Pattern Building,Pattern Recognition,Tile Placement","Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited",6.50534,1.8217,258,4561,1352,2751,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,10
"Lords of Creation",5,12,2,120,120,1993,"Civilization,Fantasy","Modular Board","Vendetta,Warfrog Games",6.14538,2.4,15,460,5371,186,No,NotRecommended,NotRecommended,Recommended,Best,Recommended,null,null,null,null,null,NotRecommended,null
"El Caballero",4,13,2,90,90,1998,"Exploration","Area Control / Area Influence,Tile Placement","999 Games,Hans im Glück Verlags-GmbH,Rio Grande Games",6.51776,3.1958,143,2263,1711,1263,No,NotRecommended,Recommended,Recommended,Recommended,null,null,null,null,null,null,NotRecommended,12
"Elfenland",6,10,2,60,60,1998,"Fantasy,Travel","Card Drafting,Hand Management,Point to Point Movement,Route/Network Building","999 Games,AMIGO Spiel + Freizeit GmbH,Corfix,Hobby World,Midgaard Games,Rio Grande Games",6.74996,2.1649,661,7792,709,6729,No,NotRecommended,NotRecommended,Recommended,Best,Recommended,Recommended,null,null,null,null,NotRecommended,8
"Bohnanza",7,13,2,45,45,1997,"Card Game,Farming,Negotiation","Hand Management,Set Collection,Trading","AMIGO Spiel + Freizeit GmbH,999 Games,Brain Games,Copag - Cia. Paulista de Artes Gráficas,Corfix,G3,Gigamic,Kaissa Chess & Games,Kikigagne?,Korea Boardgames co., Ltd.,Lautapelit.fi,Lifestyle Boardgames Ltd,Lookout Games,Mercurio,Midgaard Games,Möbius Games,Piatnik,Rio Grande Games,Stratelibri,Swan Panasia Co., Ltd.,Tempo Games",7.06751,1.6777,2569,39474,336,28354,No,NotRecommended,NotRecommended,Recommended,Recommended,Best,Recommended,Recommended,null,null,null,NotRecommended,8
"Ra",5,12,2,45,60,1999,"Ancient,Mythology","Auction/Bidding,Press Your Luck,Set Collection","alea,Ravensburger Spieleverlag GmbH,999 Games,ABACUSSPIELE,Edge Entertainment,Korea Boardgames co., Ltd.,New Games Order, LLC,Rio Grande Games,Swan Panasia Co., Ltd.,Überplay,Windrider Games",7.47505,2.356,1660,14413,123,15378,No,NotRecommended,Recommended,Best,Best,Recommended,null,null,null,null,null,NotRecommended,10
"Basari",4,10,3,25,25,1998,"Negotiation","Roll / Spin and Move,Set Collection,Simultaneous Action Selection","F.X. Schmid,New Games Order, LLC,Out of the Box Publishing",6.78156,1.8588,177,1609,1195,1476,No,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
