name,pelaajia1,pelaajia2,pelaajia3tai4,pelaajiaYli4
"Die Macher",0,0,1,1
"Dragonmaster",0,0,1,0
"Samurai",0,1,1,0
"Tal der Könige",0,1,1,0
"Acquire",0,0,1,1
"Cathedral",0,1,0,0
"Lords of Creation",0,0,1,1
"El Caballero",0,1,1,0
"Elfenland",0,0,1,1
"Bohnanza",0,0,1,1
"Ra",0,1,1,1
"Basari",0,0,1,0
"Cosmic Encounter",0,0,1,1
"MarraCash",0,0,1,0
"Button Men",0,1,0,0
"RoboRally",0,0,1,1
"Wacky Wacky West",0,0,1,0
"Full Metal Planète",0,1,1,0
"Magic Realm",1,1,1,1
"Divine Right",0,0,1,1
"Twilight Imperium",0,0,1,1
"Battlemist",0,0,1,1
"Age of Renaissance",0,0,1,1
"Supremacy",0,0,1,1
"Illuminati:  Deluxe Edition",0,0,1,1
"Dark Tower",0,1,1,0
"Dark World",0,1,1,1
"Bison",0,1,0,0
"Arkham Horror",1,1,1,1
"Federation & Empire",0,1,1,1
"Dragon Masters",0,0,0,0
"Borderlands",0,0,1,0
"Can't Stop",0,1,1,0
"Tigris & Euphrates",0,1,1,0
"Airlines",0,0,1,1
"David & Goliath",0,0,1,1
"Medici",0,0,1,1
"Chinatown",0,0,1,1
"Krieg und Frieden",0,0,1,0
"Lost Cities",0,1,0,0
"Ricochet Robots",1,1,1,1
"Mighty Empires",0,1,1,0
"Tikal",0,1,1,0
"Schoko & Co.",0,1,1,0
"Kings & Things",0,1,1,0
"Giganten",0,0,1,0
"Vinci",0,0,1,1
"Fossil",0,1,1,1
"Curse of the Mummy's Tomb",0,0,1,0
"Samurai",0,0,1,0
"Joan of Arc",0,0,1,1
"Löwenherz",0,0,1,0
"Conquest",0,1,1,0
"Successors (second edition)",0,0,1,0
"Big City",0,1,1,0
"Civilization",0,0,1,1
"Verräter",0,0,1,0
"Show Manager",0,0,1,1
"Apples to Apples",0,0,1,1
"Falling",0,0,1,1
"Air Baron",0,0,1,1
"EastFront",0,1,0,0
"WestFront",1,1,0,0
"Bobby Lee",0,1,0,0
"Sam Grant",0,1,0,0
"Rommel in the Desert",0,1,0,0
"Quebec 1759",0,1,0,0
"Victory:  The Blocks of War",0,1,1,0
"Torres",0,1,1,0
"Blue vs. Gray",1,1,0,0
"Star Wars: Episode 1 – Clash of the Lightsabers",0,1,0,0
"Paths of Glory",0,1,0,0
"Union Pacific",0,0,1,1
"Igel Ärgern",0,1,1,1
"Broadsides and Boarding Parties",0,1,0,0
"Conquest of the Empire",0,0,1,1
"Axis & Allies",0,1,1,1
"Fortress America",0,1,1,0
"Detroit-Cleveland Grand Prix",0,1,1,1
"Klunker",0,0,1,1
"Titan",0,1,1,1
"Extrablatt",0,0,1,0
"Colossal Arena",0,1,1,1
"Mystery Rummy: Jack the Ripper",0,1,1,0
"TAMSK",0,1,0,0
"Wettstreit der Baumeister",0,0,1,0
"Auf Achse",0,1,1,1
"Rheinländer",0,0,1,1
"Condottiere",0,0,1,1
"Mit List und Tücke",0,0,1,1
"I'm the Boss!",0,0,1,1
"Guillotine",0,1,1,1
"Ta Yü",0,1,1,0
"Modern Art",0,0,1,1
"Kingdoms",0,1,1,0
"Hoity Toity",0,0,1,1
"Dune",0,0,1,1
"Quo Vadis?",0,0,1,1
"Primordial Soup",0,0,1,0
"Money!",0,0,1,1
"The Really Nasty Horse Racing Game",0,0,1,1
"Princess Ryan's Star Marines",1,1,1,1
"Take it Easy!",1,1,1,1
"Iron Dragon",0,1,1,0
"Caesar & Cleopatra",0,1,0,0
"Frischfleisch",0,0,1,1
"Cape Horn",0,0,1,1
"Kontor",0,1,1,0
"Pass the Bomb",0,0,0,1
"Hoax",0,1,1,1
"Andromeda",0,0,1,1
"Vino",0,1,1,1
"Elfenwizards",0,0,0,0
"Metropolis",0,1,1,1
"Buy Low Sell High",0,1,1,0
"Crude: The Oil Game",0,0,1,0
"Die Glücksritter",0,0,1,1
"PitchCar",0,1,1,1
"Piratenbillard",0,1,1,0
"Mu & more",0,0,1,1
"Take 5!",0,0,1,1
"Wildlife Adventure",0,1,1,1
"Eurorails",0,1,1,1
"The Awful Green Things From Outer Space",0,1,0,0
"Balderdash",0,0,1,1
"Before I Kill You, Mister Spy...",0,0,1,1
"Black Box",1,1,0,0
"Black Death",0,0,0,0
"Dicke Kartoffeln",0,0,1,0
"Empire Builder",0,1,1,0
"En Garde",0,1,0,0
"Family Business",0,0,1,1
"For Sale",0,0,1,1
"Formula Dé",0,0,1,1
"T-Rex",0,1,1,1
"Raj",0,0,1,1
"Give Me the Brain!",0,0,1,1
"Mole Hill",0,1,0,0
"Pool Position",0,0,1,1
"Knights of Charlemagne",0,1,1,0
"Stonehenge",0,1,0,0
"Devil Bunny Needs a Ham",0,0,1,1
"Split",0,0,1,1
"Die Siedler von Nürnberg",0,0,1,0
"Dolce Vita",0,0,1,1
"Nicht die Bohne!",0,0,1,1
"Fill or Bust",0,1,1,1
"Groo: The Game",0,0,1,0
"Kremlin",0,0,1,1
"Buried Treasure",0,1,1,0
"Manhattan",0,0,1,0
"Entdecker",0,1,1,0
"The Rose King",0,1,0,0
"Targui",0,0,1,0
"Stephenson's Rocket",0,1,1,0
"Pepper",0,0,1,1
"Twitch",0,0,1,1
"Don Pepe",0,1,1,1
"Times to Remember",0,1,1,1
"Café International",0,1,1,0
"Tichu",0,0,1,0
"Atlanteon",0,1,0,0
"A la carte",0,1,1,0
"High-Bid",0,0,1,0
"Volle Hütte",0,0,1,0
"High Society",0,0,1,1
"Ikusa",0,0,1,1
"Space Beans",0,1,1,1
"Expedition",0,1,1,0
"History of the World",0,0,1,1
"Lunch Money",0,1,1,0
"King of the Elves",0,1,1,0
"Merchant of Venus",0,1,1,0
"Geronimo",1,1,1,1
"Serenissima (first edition)",0,0,1,0
"Hannibal: Rome vs. Carthage",0,1,0,0
"Blackbeard",1,1,1,0
"Wooden Ships & Iron Men",0,1,0,0
"Britannia",0,0,1,0
"Age of Exploration",1,1,1,0
"Junta",0,0,0,1
"Advanced Squad Leader",1,1,0,0
"Circus Maximus",0,0,1,1
"Gloria Picktoria",0,0,1,1
"Blood Royale",0,0,1,1
"Lifeboats",0,0,0,1
"Colonial Diplomacy",0,0,0,1
"Borodino",1,1,0,0
"Empires in Arms",0,0,0,1
"Mississippi Queen",0,0,1,1
"Kill Doctor Lucky",0,0,1,1
"Fluxx",0,1,1,1
"Atlantic Storm",0,0,1,1
"Starship Troopers: Prepare For Battle!",0,1,0,0
"Olympia 2000 (v. Chr.)",0,1,1,1
"Manitou",0,1,1,0
"Enemy in Sight",0,1,1,1
"Intrigue",0,0,1,1
"Tycoon",0,0,1,0
"Cheops",0,1,1,1
"Svea Rike",0,0,1,1
"It's Mine!",0,0,1,1
"Downtown",0,0,0,0
"Africa 1880",0,0,1,1
"Guerilla",0,0,1,1
"Res Publica",0,0,1,1
"The Very Clever Pipe Game",0,1,0,0
"Neue Spiele im alten Rom",0,1,1,1
"Ostindiska Kompaniet",0,1,1,1
"Advanced Third Reich",0,1,1,0
"Lords of the Sierra Madre (second edition)",0,0,1,1
"Monsters Ravage America",0,0,1,0
"Machiavelli",0,0,1,1
"Bazaar",0,1,1,1
"Chariot Lords",0,0,1,0
"Gold Digger",0,0,1,1
"Courtisans of Versailles",0,0,1,1
"Attacke",0,0,1,1
"Bamboleo",1,1,1,1
"Europa 1945-2030",0,0,1,1
"Medieval Merchant",0,0,1,1
"Stadens Nyckel",0,0,0,0
"De Bellis Antiquitatis",0,1,0,0
"Tutankhamen",0,1,1,1
"Campanile",0,1,1,1
"Forum Romanum",0,1,1,1
"Koalition",0,0,1,1
"Ever Green",0,0,1,1
"Der Fliegende Holländer",0,0,1,1
"Candidate",0,0,1,1
"Santa Fe",0,1,1,1
"Wizard's Quest",0,0,1,1
"Time Agent",0,0,1,1
"Landlord!",0,0,1,1
"Big Boss",0,0,1,1
"Highlanders",0,0,1,1
"Chase",0,1,0,0
"The Mob",0,0,1,1
"The Mole in the Hole",0,1,1,0
"Tonga Bonga",0,0,1,0
"Anno 1452",0,0,1,0
"Loopin' Louie",0,1,1,0
"Russian Front",1,1,0,0
"Block Mania",0,1,0,0
"Vernissage",0,0,1,1
"Waterworks",0,1,1,1
"Advance to Boardwalk",0,1,1,0
"Breakthru",0,1,0,0
"Jumpin",0,1,0,0
"Circus Flohcati",0,1,1,1
"Bargain Hunter",0,0,1,0
"Quiddler",0,1,1,1
"Frank's Zoo",0,0,1,1
"Twins",0,0,0,0
"Members Only",0,0,1,1
"Merchants of the Middle Ages",0,0,1,0
"Halunken & Spelunken",0,0,1,0
"Hattrick",0,0,1,1
"Trumpet",0,0,1,1
"Inkognito: The Card Game",0,0,1,0
"Sticheln",0,0,1,1
"Das letzte Paradies",0,0,1,1
"Ab die Post!",0,0,1,1
"Excape",0,0,1,1
"Bucket Brigade",0,0,1,1
"Quests of the Round Table",0,0,1,0
"Hare & Tortoise",0,0,1,1
"Elefantenparade",0,1,1,0
"Katzenjammer Blues",0,1,1,0
"Samarkand",0,1,1,1
"Viva Pamplona!",0,0,1,1
"Overthrone",0,0,1,1
"Relationship Tightrope",0,1,1,1
"5ive Straight",0,1,1,1
"Mystery Rummy: Murders in the Rue Morgue",0,1,1,0
"Schotten Totten",0,1,0,0
"Colorado County",0,0,1,0
"6 Billion",0,0,1,1
"DruidenWalzer",0,1,0,0
"Lancashire Railways",0,0,1,0
"Express",0,1,1,1
"Polarity",0,1,1,0
"Heimlich & Co.",0,0,1,1
"TurfMaster",0,0,1,1
"Pirateer",0,1,1,0
"Corruption",0,0,1,1
"Finale",0,1,0,0
"Die Mauer",0,0,1,1
"Brawl",0,1,1,0
"Dinosaurs of the Lost World",1,1,1,0
"Kahuna",0,1,0,0
"Der dreizehnte Holzwurm",0,0,1,1
"Diskwars",0,1,1,1
"Wildlife Safari",0,0,1,1
"Tom Clancy's Politika",0,0,1,1
"Shanghai",0,0,1,1
"Gold Connection",0,0,1,0
"Elk Fest",0,1,0,0
"Worm Up!",0,0,1,1
"Zoon",0,1,0,0
"Die Erben von Hoax",0,0,1,1
"Around the World in 80 Days",0,1,1,0
"A to Z",0,1,1,0
"Edison & Co.",0,0,1,0
"Rail Baron",0,0,1,1
"1830: Railways & Robber Barons",0,0,1,1
"1835",0,0,1,1
"1856",0,0,1,1
"1870",0,0,1,1
"Thunder's Edge",0,0,1,1
"Battle of the Bulge",1,1,0,0
"Grass",0,0,1,1
"Galopp Royal",0,0,1,1
"Magalon",0,0,1,0
"Asterix: Das Kartenspiel",0,0,1,1
"6 nimmt!",0,0,1,1
"Shark",0,0,1,1
"Yucata'",0,1,1,0
"Canyon",0,0,1,1
"Master Labyrinth",0,1,1,0
"Scotland Yard",0,1,1,1
"Zoff in Buffalo",0,1,1,1
"Filthy Rich",0,1,1,1
"Um Reifenbreite",0,0,1,0
"Code 777",0,0,1,0
"Midnight Party",0,1,1,1
"Die Osterinsel",0,0,1,0
"Avalanche",1,1,1,0
"The Great Balloon Race",0,0,1,1
"Octi",0,1,0,0
"Mummy Rummy",0,0,0,0
"Jumbo Grand Prix",0,1,1,1
"Sherlock Holmes: The Card Game",0,0,1,1
"Ausgebremst",0,0,1,1
"Railway Rivals",0,0,1,1
"Freibeuter",0,1,1,0
"Esels-Rennen",0,1,1,0
"Magic: The Gathering",0,1,0,0
"Billabong",0,1,1,0
"Inkognito",0,0,1,0
"In Teufels Küche",0,0,1,0
"Road to the White House",0,1,1,1
"Totem",0,0,0,0
"DungeonQuest",1,1,1,0
"Olé!",0,0,1,1
"Cold War",0,0,1,0
"Taj Mahal",0,0,1,1
"Mr. President",0,1,1,0
"The Broadway Game",0,0,1,1
"Bambuti",0,1,0,0
"Carolus Magnus",0,1,1,0
"Sky Runner",0,0,1,1
"Diplomacy",0,0,0,1
"Stratego Legends",0,1,1,0
"Galloping Pigs",0,0,1,1
"Barnyard Buddies",0,1,1,1
"Power",0,0,1,0
"Warangel",0,1,1,1
"Web of Power",0,0,1,1
"Aladdin's Dragons",0,0,1,1
"Ave Caesar",0,0,1,1
"Time Pirates",0,0,1,1
"Vampire",0,1,1,1
"Arbos",1,1,1,1
"Through the Desert",0,1,1,1
"Die Verbotene Stadt",0,0,1,0
"The Big Cheese",0,0,1,1
"Cartel",0,0,1,0
"Blue Max",0,1,1,1
"The Reef",0,1,0,0
"Eschnapur",0,0,1,1
"Silverton",1,1,1,0
"True Colors",0,0,1,1
"6-Tage Rennen",0,0,0,1
"Mush",0,1,1,1
"Axis & Allies: Europe",0,1,1,0
"Crokinole",0,1,1,0
"Desperados",0,0,1,0
"Pisa",0,0,1,1
"Abalone",0,1,0,0
"GIPF",0,1,0,0
"ZÈRTZ",0,1,0,0
"Merchants of Amsterdam",0,0,1,1
"Labyrinth: The Card Game",0,1,1,1
"N.Y. Chase",0,1,1,1
"Power Barons",0,0,1,0
"Visionary",0,0,1,1
"Manager",0,0,0,0
"Dampfross",0,0,1,1
"Sisimizi",0,1,1,0
"Das Motorsportspiel",0,0,1,1
"Democrazy",0,0,0,1
"Kaleidos",0,1,1,1
"Buck Rogers: Battle for the 25th Century Game",0,0,1,1
"Barbarossa",0,0,1,0
"Battle Cry",0,1,0,0
"Bus",0,0,1,0
"La Città",0,1,1,1
"The Princes of Florence",0,0,1,1
"Laguna",0,0,1,0
"Der weiße Lotus",0,0,1,1
"Metro",0,1,1,1
"Silberzwerg",0,0,1,0
"Port Royal",0,0,1,0
"Wongar",0,0,1,0
"Rage",0,0,1,1
"Maestro",0,1,1,0
"Formel Fun",0,0,1,1
"Parts Unknown",0,0,0,0
"Tile Chess",0,1,1,0
"Kardinal",0,1,1,0
"Up Front",0,1,0,0
"Wiz-War",0,0,1,0
"Mille Bornes",0,1,1,1
"Spades",0,0,1,0
"Favoriten",0,0,1,1
"Sleuth",0,0,1,1
"Escape from Elba",0,0,0,0
"Career Poker",0,0,1,1
"Banana Republic",0,1,1,1
"Pico 2",0,1,0,0
"Honor of the Samurai",0,0,1,1
"Siesta",0,1,1,0
"Kippit",0,1,0,0
"Rubik's Race",0,1,0,0
"MLB Showdown",0,1,0,0
"The Bottle Imp",0,0,1,0
"We the People",0,1,0,0
"25 Words or Less",0,0,0,0
"Change!",0,1,1,1
"Swashbuckler",0,1,1,1
"Quoridor",0,1,1,0
"War and Peace",1,1,1,1
"Q-Turn",0,0,0,0
"Daytona 500",0,1,1,0
"Cloud 9",0,0,1,1
"Elixir",0,0,1,1
"River Dragons",0,0,1,1
"Formula Motor Racing",0,0,1,1
"Stock Car Championship Racing Card Game",0,0,1,1
"Hera and Zeus",0,1,0,0
"American Megafauna",1,0,1,0
"Oodles",0,1,1,1
"Deadlands: Doomtown Range Wars",0,1,1,1
"Shipwrecked",0,0,1,0
"Bosworth",0,1,1,0
"Mystick Domination",0,1,1,0
"Thieves of Bagdad",0,0,1,1
"Zero",0,0,1,1
"Shit!",0,0,1,1
"Castle",0,1,1,0
"Münchhausen",0,0,1,1
"Where's Bob's Hat?",0,0,1,1
"Sternenhimmel",0,0,1,0
"Plague & Pestilence",0,1,1,1
"Starship Troopers",0,1,0,0
"Bull Run",0,0,0,0
"Star Traders",0,1,1,1
"Would You Rather...?",0,0,1,1
"Minion Hunter",1,1,1,1
"Dune",0,1,1,0
"Quarto",0,1,0,0
"Monopoly: The Card Game",0,0,1,0
"Dr. Jekyll & Mr. Hyde",0,0,1,0
"Cabale",0,1,1,0
"Timbuktu",0,0,1,1
"Wizard Kings",0,1,1,0
"The Big Idea",0,0,1,1
"Conspiracy",0,0,1,0
"Gother Than Thou",0,0,1,1
"HeroQuest",0,1,1,1
"Battle Masters",0,1,0,0
"A House Divided",0,1,0,0
"Wabbit Wampage",0,1,1,0
"Montgolfiere",0,1,1,1
"Frederick the Great",1,1,0,0
"Snit's Revenge",0,1,0,0
"Elfenroads",0,0,1,1
"Blood Bowl (Third Edition)",0,1,0,0
"Nuclear War",0,0,1,1
"Talisman",0,1,1,0
"Escape from Colditz",0,0,1,1
"Galaxy: The Dark Ages",0,1,1,1
"Tyranno Ex",0,0,1,0
"Fast Food Franchise",0,0,1,1
"X-Men Alert",0,1,1,0
"Chill: Black Morn Manor",0,0,1,1
"Breakout: Normandy",1,1,0,0
"San Francisco",0,0,0,1
"The Game of France, 1940: German Blitzkrieg in the West",0,1,0,0
"Bitter Woods",0,1,0,0
"Trax",0,1,0,0
"Minos",0,1,1,0
"Maul of America",0,1,1,0
"Panzerkrieg",1,1,0,0
"Domain",0,1,0,0
"Thunder at Cassino",1,1,0,0
"Black Vienna",0,0,1,1
"Turning Point: Stalingrad",1,1,0,0
"Battle Line",0,1,0,0
"The Great Brain Robbery",0,0,0,0
"Mad Gab",0,0,1,1
"Space Walk",0,1,1,1
"Regatta",0,1,1,1
"Star Trek Red Alert",0,0,0,0
"Loot",0,0,1,1
"Kings and Castles",0,1,1,0
"Ausbrecher AG",0,0,1,1
"Win, Place & Show",0,0,1,1
"Dog Eat Dog",0,0,0,0
"Maxi Bour$e",0,0,1,1
"Tales of the Arabian Nights",1,1,1,0
"Focus",0,1,1,0
"Yahtzee Deluxe Poker",0,0,1,1
"Foil",0,1,1,0
"Dragonlance",0,0,1,1
"Shanghai Trader",0,0,1,1
"Ace of Aces: Handy Rotary Series",0,1,0,0
"The Hills Rise Wild!",0,0,1,0
"Dragonhunt",0,0,1,1
"Thunder Road",0,1,1,0
"Buffy the Vampire Slayer: The Game",0,1,1,1
"Rummikub",0,1,1,0
"Goosebumps: Terror in the Graveyard Game",0,0,1,0
"Aquarius",0,1,1,1
"Chrononauts",1,1,1,1
"2038: Tycoons of the Asteroid Belt",0,0,1,1
"Axiom",0,1,0,0
"Lord of the Rings",1,1,1,1
"Screaming Eagles",0,1,1,0
"Cartagena",0,1,1,1
"Attila",0,0,1,1
"Wizards",0,1,1,0
"Battle of the Bands",0,1,1,0
"Schrille Stille",0,0,1,1
"For the People",0,1,0,0
"Chronology",0,0,1,1
"New England Railways",0,0,1,1
"Corsairs",0,1,1,0
"Razzia",0,0,1,1
"Circus Minimus",0,1,1,1
"Feudal",0,1,1,1
"...und tschüss!",0,0,1,1
"Doge",0,0,1,0
"Java",0,1,1,0
"Titanic: Der Mythos",0,1,1,0
"Illuminati",0,0,1,1
"Weapons and Warriors:  Castle Combat Set",0,1,0,0
"Mage Knight",0,1,1,0
"Landslide",0,1,1,0
"Lie, Cheat & Steal",0,0,1,1
"Morisi",0,1,1,0
"Bongo!",1,1,1,1
"Empires of the Ancient World",0,0,1,1
"M",0,1,1,1
"Roads & Boats",1,1,1,0
"Troia",0,1,1,0
"Wyatt Earp",0,1,1,0
"Ivanhoe",0,0,1,1
"Way Out West",0,0,1,1
"Cranium",0,0,1,1
"APBA Pro Baseball",1,1,0,0
"City",0,0,0,0
"Meuterer",0,0,1,0
"Hamsterrolle",0,1,1,0
"Dream Factory",0,0,1,1
"Abilene",0,0,1,1
"Tally Ho!",0,1,0,0
"Saturn",0,0,0,0
"Kunst Stücke",0,1,1,1
"Empires of the Middle Ages",0,0,1,1
"Pacific Victory",0,1,0,0
"Rack-O",0,1,1,0
"Ultimate Outburst",0,0,0,0
"Breakaway Rider",0,0,1,1
"Werewolf",0,0,0,1
"Lift Off",0,1,1,0
"The Great Dalmuti",0,0,0,1
"Top Race",0,0,1,1
"New Orleans Big Band",0,0,1,1
"Australian Rails",0,1,1,0
"The Fury of Dracula",0,1,1,0
"1825 Unit 1",0,1,1,1
"Enchanted Forest",0,1,1,1
"Star Wars: The Queen's Gambit",0,1,0,0
"Karawane",0,0,1,1
"Turbo Taxi",0,1,1,0
"Ligretto",0,0,1,0
"Mag·Blast",0,1,1,1
"Dao",0,1,0,0
"Twixt",0,1,0,0
"Four Dragons",0,0,1,0
"Football Strategy",0,1,0,0
"Pony Express",0,0,1,1
"Azteca",0,0,1,0
"Orcz",0,1,1,0
"Kapitän Wackelpudding",0,1,1,0
"Ben Hurt",0,0,1,1
"The Powerpuff Girls: Saving the World Before Bedtime",0,1,1,0
"Amoeba Wars",0,0,1,1
"Tangoes",1,1,0,0
"Babel",0,1,0,0
"Kingmaker",0,0,1,1
"Zapp Zerapp",0,1,1,0
"An den Ufern des Nils",0,1,1,1
"Panda Monium",0,0,1,1
"Vendetta",0,1,1,0
"Cosmic Eidex",0,0,1,0
"Die Hanse",0,0,1,1
"Die Magier",0,0,1,0
"Fief 2",0,0,1,1
"Fresh Fish",0,0,1,1
"Kraut & Rüben",0,1,1,0
"TV Wars",0,0,1,0
"B-17: Queen of the Skies",1,0,0,0
"Squad Leader",1,1,0,0
"Speculation",0,0,1,1
"Deadlands: Doomtown",0,1,1,1
"Tantrix",1,1,1,0
"San Marco",0,0,1,0
"Dragon's Gold",0,0,1,1
"Gunslinger",0,1,1,1
"Zargos",0,0,1,1
"Waldschattenspiel",0,0,1,1
"Wat'n dat!?",0,0,1,1
"Der Schatz der Inka",0,1,1,1
"Die Schlacht der Dinosaurier",0,1,1,0
"Assassin",0,0,0,0
"Judge Dredd",0,0,1,1
"Down Fall",0,1,0,0
"Flying Carpet",0,0,0,0
"Kathai",0,0,1,0
"Taboo",0,0,1,1
"Poker",0,0,1,1
"Oh Hell!",0,0,1,1
"You're Bluffing!",0,0,1,1
"Big Shot",0,1,1,0
"Car Wars: The Card Game",0,1,1,1
"Top Secret",0,0,0,0
"Ballonrennen",0,1,1,1
"Warrior Knights",0,0,1,1
"The Warlock of Firetop Mountain",0,0,1,1
"City of Chaos",1,1,1,0
"Shadowlord!",0,1,1,0
"Outrage! Steal the Crown Jewels",0,0,1,0
