name,peliaikaAlle30min,peliaika31to60min,peliaika1hto2h,peliaikayli2h
"Die Macher",0,0,0,1
"Dragonmaster",1,0,0,0
"Samurai",0,1,0,0
"Tal der Könige",0,1,0,0
"Acquire",0,0,1,0
"Cathedral",1,0,0,0
"Lords of Creation",0,0,1,0
"El Caballero",0,0,1,0
"Elfenland",0,1,0,0
"Bohnanza",0,1,0,0
"Ra",0,1,0,0
"Basari",1,0,0,0
"Cosmic Encounter",0,0,1,0
"MarraCash",0,1,0,0
"Button Men",1,0,0,0
"RoboRally",0,0,1,0
"Wacky Wacky West",0,1,0,0
"Full Metal Planète",0,0,1,0
"Magic Realm",0,0,0,1
"Divine Right",0,0,0,1
"Twilight Imperium",0,0,0,1
"Battlemist",0,0,0,1
"Age of Renaissance",0,0,0,1
"Supremacy",0,0,0,1
"Illuminati:  Deluxe Edition",0,0,0,1
"Dark Tower",0,0,1,0
"Dark World",0,0,1,0
"Bison",1,0,0,0
"Arkham Horror",0,0,0,1
"Federation & Empire",0,0,0,1
"Dragon Masters",0,0,1,0
"Borderlands",0,0,1,0
"Can't Stop",1,0,0,0
"Tigris & Euphrates",0,0,1,0
"Airlines",0,0,1,0
"David & Goliath",0,1,0,0
"Medici",0,1,0,0
"Chinatown",0,1,0,0
"Krieg und Frieden",0,0,1,0
"Lost Cities",1,0,0,0
"Ricochet Robots",1,0,0,0
"Mighty Empires",0,0,0,1
"Tikal",0,0,1,0
"Schoko & Co.",0,0,0,1
"Kings & Things",0,0,1,0
"Giganten",0,0,1,0
"Vinci",0,0,1,0
"Fossil",0,1,0,0
"Curse of the Mummy's Tomb",0,0,1,0
"Samurai",0,0,0,1
"Joan of Arc",0,0,0,1
"Löwenherz",0,0,1,0
"Conquest",0,0,1,0
"Successors (second edition)",0,0,0,1
"Big City",0,1,0,0
"Civilization",0,0,0,1
"Verräter",0,1,0,0
"Show Manager",0,1,0,0
"Apples to Apples",1,0,0,0
"Falling",1,0,0,0
"Air Baron",0,0,1,0
"EastFront",0,0,0,1
"WestFront",0,0,0,1
"Bobby Lee",0,0,0,1
"Sam Grant",0,0,0,1
"Rommel in the Desert",0,0,0,1
"Quebec 1759",0,1,0,0
"Victory:  The Blocks of War",0,0,0,1
"Torres",0,1,0,0
"Blue vs. Gray",0,0,1,0
"Star Wars: Episode 1 – Clash of the Lightsabers",1,0,0,0
"Paths of Glory",0,0,0,1
"Union Pacific",0,0,1,0
"Igel Ärgern",1,0,0,0
"Broadsides and Boarding Parties",0,1,0,0
"Conquest of the Empire",0,0,0,1
"Axis & Allies",0,0,0,1
"Fortress America",0,0,0,1
"Detroit-Cleveland Grand Prix",0,1,0,0
"Klunker",1,0,0,0
"Titan",0,0,0,1
"Extrablatt",0,0,1,0
"Colossal Arena",0,1,0,0
"Mystery Rummy: Jack the Ripper",0,1,0,0
"TAMSK",1,0,0,0
"Wettstreit der Baumeister",0,1,0,0
"Auf Achse",0,1,0,0
"Rheinländer",0,0,1,0
"Condottiere",0,1,0,0
"Mit List und Tücke",0,1,0,0
"I'm the Boss!",0,1,0,0
"Guillotine",1,0,0,0
"Ta Yü",0,1,0,0
"Modern Art",0,1,0,0
"Kingdoms",0,1,0,0
"Hoity Toity",0,1,0,0
"Dune",0,0,0,1
"Quo Vadis?",0,1,0,0
"Primordial Soup",0,0,1,0
"Money!",1,0,0,0
"The Really Nasty Horse Racing Game",0,0,1,0
"Princess Ryan's Star Marines",0,0,1,0
"Take it Easy!",1,0,0,0
"Iron Dragon",0,0,0,1
"Caesar & Cleopatra",0,1,0,0
"Frischfleisch",0,0,1,0
"Cape Horn",0,1,0,0
"Kontor",0,1,0,0
"Pass the Bomb",1,0,0,0
"Hoax",0,1,0,0
"Andromeda",0,1,0,0
"Vino",0,0,1,0
"Elfenwizards",0,0,1,0
"Metropolis",0,0,1,0
"Buy Low Sell High",0,1,0,0
"Crude: The Oil Game",0,0,1,0
"Die Glücksritter",0,1,0,0
"PitchCar",1,0,0,0
"Piratenbillard",1,0,0,0
"Mu & more",0,1,0,0
"Take 5!",0,1,0,0
"Wildlife Adventure",0,1,0,0
"Eurorails",0,0,0,1
"The Awful Green Things From Outer Space",0,0,1,0
"Balderdash",0,1,0,0
"Before I Kill You, Mister Spy...",1,0,0,0
"Black Box",1,0,0,0
"Black Death",0,0,1,0
"Dicke Kartoffeln",0,0,1,0
"Empire Builder",0,0,0,1
"En Garde",1,0,0,0
"Family Business",1,0,0,0
"For Sale",1,0,0,0
"Formula Dé",0,0,1,0
"T-Rex",0,1,0,0
"Raj",1,0,0,0
"Give Me the Brain!",1,0,0,0
"Mole Hill",1,0,0,0
"Pool Position",1,0,0,0
"Knights of Charlemagne",1,0,0,0
"Stonehenge",1,0,0,0
"Devil Bunny Needs a Ham",1,0,0,0
"Split",1,0,0,0
"Die Siedler von Nürnberg",0,0,1,0
"Dolce Vita",1,0,0,0
"Nicht die Bohne!",0,1,0,0
"Fill or Bust",1,0,0,0
"Groo: The Game",0,1,0,0
"Kremlin",0,0,1,0
"Buried Treasure",1,0,0,0
"Manhattan",0,1,0,0
"Entdecker",0,1,0,0
"The Rose King",1,0,0,0
"Targui",0,0,1,0
"Stephenson's Rocket",0,1,0,0
"Pepper",0,1,0,0
"Twitch",1,0,0,0
"Don Pepe",1,0,0,0
"Times to Remember",0,1,0,0
"Café International",0,1,0,0
"Tichu",0,1,0,0
"Atlanteon",1,0,0,0
"A la carte",1,0,0,0
"High-Bid",1,0,0,0
"Volle Hütte",1,0,0,0
"High Society",1,0,0,0
"Ikusa",0,0,0,1
"Space Beans",0,1,0,0
"Expedition",0,0,1,0
"History of the World",0,0,0,1
"Lunch Money",1,0,0,0
"King of the Elves",0,1,0,0
"Merchant of Venus",0,0,0,1
"Geronimo",0,0,0,1
"Serenissima (first edition)",0,0,1,0
"Hannibal: Rome vs. Carthage",0,0,0,1
"Blackbeard",0,0,0,1
"Wooden Ships & Iron Men",0,1,0,0
"Britannia",0,0,0,1
"Age of Exploration",0,0,0,1
"Junta",0,0,0,1
"Advanced Squad Leader",0,0,0,1
"Circus Maximus",0,0,1,0
"Gloria Picktoria",0,1,0,0
"Blood Royale",0,0,0,1
"Lifeboats",0,0,1,0
"Colonial Diplomacy",0,0,0,1
"Borodino",0,0,0,1
"Empires in Arms",0,0,0,1
"Mississippi Queen",0,1,0,0
"Kill Doctor Lucky",0,1,0,0
"Fluxx",1,0,0,0
"Atlantic Storm",0,1,0,0
"Starship Troopers: Prepare For Battle!",0,1,0,0
"Olympia 2000 (v. Chr.)",1,0,0,0
"Manitou",0,1,0,0
"Enemy in Sight",0,0,1,0
"Intrigue",0,1,0,0
"Tycoon",0,0,1,0
"Cheops",0,1,0,0
"Svea Rike",0,0,1,0
"It's Mine!",1,0,0,0
"Downtown",0,1,0,0
"Africa 1880",0,0,1,0
"Guerilla",0,1,0,0
"Res Publica",0,1,0,0
"The Very Clever Pipe Game",1,0,0,0
"Neue Spiele im alten Rom",1,0,0,0
"Ostindiska Kompaniet",1,0,0,0
"Advanced Third Reich",0,0,0,1
"Lords of the Sierra Madre (second edition)",0,0,0,1
"Monsters Ravage America",0,0,1,0
"Machiavelli",0,0,0,1
"Bazaar",0,1,0,0
"Chariot Lords",0,0,0,1
"Gold Digger",1,0,0,0
"Courtisans of Versailles",0,0,1,0
"Attacke",1,0,0,0
"Bamboleo",1,0,0,0
"Europa 1945-2030",0,0,1,0
"Medieval Merchant",0,0,1,0
"Stadens Nyckel",0,0,1,0
"De Bellis Antiquitatis",0,1,0,0
"Tutankhamen",1,0,0,0
"Campanile",1,0,0,0
"Forum Romanum",0,1,0,0
"Koalition",0,0,1,0
"Ever Green",1,0,0,0
"Der Fliegende Holländer",0,1,0,0
"Candidate",0,0,1,0
"Santa Fe",0,0,1,0
"Wizard's Quest",0,0,0,1
"Time Agent",0,0,0,1
"Landlord!",1,0,0,0
"Big Boss",0,0,1,0
"Highlanders",0,1,0,0
"Chase",0,1,0,0
"The Mob",0,1,0,0
"The Mole in the Hole",0,1,0,0
"Tonga Bonga",0,1,0,0
"Anno 1452",0,0,1,0
"Loopin' Louie",1,0,0,0
"Russian Front",0,0,0,1
"Block Mania",0,0,1,0
"Vernissage",0,1,0,0
"Waterworks",1,0,0,0
"Advance to Boardwalk",0,1,0,0
"Breakthru",1,0,0,0
"Jumpin",1,0,0,0
"Circus Flohcati",1,0,0,0
"Bargain Hunter",0,1,0,0
"Quiddler",1,0,0,0
"Frank's Zoo",0,1,0,0
"Twins",1,0,0,0
"Members Only",0,1,0,0
"Merchants of the Middle Ages",0,0,1,0
"Halunken & Spelunken",1,0,0,0
"Hattrick",1,0,0,0
"Trumpet",0,1,0,0
"Inkognito: The Card Game",1,0,0,0
"Sticheln",0,1,0,0
"Das letzte Paradies",1,0,0,0
"Ab die Post!",0,1,0,0
"Excape",1,0,0,0
"Bucket Brigade",1,0,0,0
"Quests of the Round Table",0,1,0,0
"Hare & Tortoise",0,1,0,0
"Elefantenparade",1,0,0,0
"Katzenjammer Blues",1,0,0,0
"Samarkand",1,0,0,0
"Viva Pamplona!",0,1,0,0
"Overthrone",0,0,1,0
"Relationship Tightrope",1,0,0,0
"5ive Straight",1,0,0,0
"Mystery Rummy: Murders in the Rue Morgue",0,1,0,0
"Schotten Totten",1,0,0,0
"Colorado County",0,1,0,0
"6 Billion",0,0,1,0
"DruidenWalzer",0,1,0,0
"Lancashire Railways",0,0,1,0
"Express",0,1,0,0
"Polarity",1,0,0,0
"Heimlich & Co.",1,0,0,0
"TurfMaster",0,0,1,0
"Pirateer",1,0,0,0
"Corruption",0,1,0,0
"Finale",1,0,0,0
"Die Mauer",1,0,0,0
"Brawl",1,0,0,0
"Dinosaurs of the Lost World",0,0,1,0
"Kahuna",0,1,0,0
"Der dreizehnte Holzwurm",0,1,0,0
"Diskwars",0,0,1,0
"Wildlife Safari",1,0,0,0
"Tom Clancy's Politika",0,0,1,0
"Shanghai",1,0,0,0
"Gold Connection",0,1,0,0
"Elk Fest",1,0,0,0
"Worm Up!",1,0,0,0
"Zoon",1,0,0,0
"Die Erben von Hoax",0,1,0,0
"Around the World in 80 Days",0,1,0,0
"A to Z",1,0,0,0
"Edison & Co.",0,1,0,0
"Rail Baron",0,0,0,1
"1830: Railways & Robber Barons",0,0,0,1
"1835",0,0,0,1
"1856",0,0,0,1
"1870",0,0,0,1
"Thunder's Edge",0,0,0,1
"Battle of the Bulge",0,0,1,0
"Grass",0,1,0,0
"Galopp Royal",0,1,0,0
"Magalon",0,1,0,0
"Asterix: Das Kartenspiel",1,0,0,0
"6 nimmt!",0,1,0,0
"Shark",0,0,1,0
"Yucata'",1,0,0,0
"Canyon",0,1,0,0
"Master Labyrinth",1,0,0,0
"Scotland Yard",0,1,0,0
"Zoff in Buffalo",0,1,0,0
"Filthy Rich",0,1,0,0
"Um Reifenbreite",0,0,1,0
"Code 777",0,1,0,0
"Midnight Party",1,0,0,0
"Die Osterinsel",1,0,0,0
"Avalanche",1,0,0,0
"The Great Balloon Race",1,0,0,0
"Octi",1,0,0,0
"Mummy Rummy",1,0,0,0
"Jumbo Grand Prix",1,0,0,0
"Sherlock Holmes: The Card Game",0,1,0,0
"Ausgebremst",0,1,0,0
"Railway Rivals",0,0,1,0
"Freibeuter",0,1,0,0
"Esels-Rennen",1,0,0,0
"Magic: The Gathering",1,0,0,0
"Billabong",1,0,0,0
"Inkognito",0,0,1,0
"In Teufels Küche",0,1,0,0
"Road to the White House",0,0,0,1
"Totem",0,0,1,0
"DungeonQuest",0,1,0,0
"Olé!",1,0,0,0
"Cold War",0,0,0,1
"Taj Mahal",0,0,1,0
"Mr. President",0,1,0,0
"The Broadway Game",0,0,1,0
"Bambuti",1,0,0,0
"Carolus Magnus",0,1,0,0
"Sky Runner",1,0,0,0
"Diplomacy",0,0,0,1
"Stratego Legends",0,1,0,0
"Galloping Pigs",1,0,0,0
"Barnyard Buddies",1,0,0,0
"Power",1,0,0,0
"Warangel",0,1,0,0
"Web of Power",0,1,0,0
"Aladdin's Dragons",0,0,1,0
"Ave Caesar",1,0,0,0
"Time Pirates",0,1,0,0
"Vampire",1,0,0,0
"Arbos",1,0,0,0
"Through the Desert",0,1,0,0
"Die Verbotene Stadt",0,1,0,0
"The Big Cheese",1,0,0,0
"Cartel",0,0,1,0
"Blue Max",0,1,0,0
"The Reef",0,1,0,0
"Eschnapur",0,1,0,0
"Silverton",0,0,0,1
"True Colors",1,0,0,0
"6-Tage Rennen",0,1,0,0
"Mush",0,1,0,0
"Axis & Allies: Europe",0,0,0,1
"Crokinole",1,0,0,0
"Desperados",1,0,0,0
"Pisa",0,1,0,0
"Abalone",1,0,0,0
"GIPF",0,1,0,0
"ZÈRTZ",0,1,0,0
"Merchants of Amsterdam",0,1,0,0
"Labyrinth: The Card Game",1,0,0,0
"N.Y. Chase",0,1,0,0
"Power Barons",1,0,0,0
"Visionary",0,1,0,0
"Manager",0,1,0,0
"Dampfross",0,0,1,0
"Sisimizi",0,1,0,0
"Das Motorsportspiel",0,0,1,0
"Democrazy",0,1,0,0
"Kaleidos",0,1,0,0
"Buck Rogers: Battle for the 25th Century Game",0,0,1,0
"Barbarossa",0,1,0,0
"Battle Cry",0,1,0,0
"Bus",0,0,1,0
"La Città",0,0,1,0
"The Princes of Florence",0,0,1,0
"Laguna",1,0,0,0
"Der weiße Lotus",0,0,1,0
"Metro",1,0,0,0
"Silberzwerg",0,1,0,0
"Port Royal",0,1,0,0
"Wongar",0,0,1,0
"Rage",0,1,0,0
"Maestro",1,0,0,0
"Formel Fun",1,0,0,0
"Parts Unknown",0,0,1,0
"Tile Chess",0,0,1,0
"Kardinal",1,0,0,0
"Up Front",0,1,0,0
"Wiz-War",0,1,0,0
"Mille Bornes",0,1,0,0
"Spades",0,1,0,0
"Favoriten",0,1,0,0
"Sleuth",0,1,0,0
"Escape from Elba",0,1,0,0
"Career Poker",0,1,0,0
"Banana Republic",1,0,0,0
"Pico 2",1,0,0,0
"Honor of the Samurai",0,0,1,0
"Siesta",0,1,0,0
"Kippit",1,0,0,0
"Rubik's Race",1,0,0,0
"MLB Showdown",0,1,0,0
"The Bottle Imp",1,0,0,0
"We the People",0,0,1,0
"25 Words or Less",0,1,0,0
"Change!",1,0,0,0
"Swashbuckler",0,0,1,0
"Quoridor",1,0,0,0
"War and Peace",0,0,0,1
"Q-Turn",1,0,0,0
"Daytona 500",0,0,1,0
"Cloud 9",1,0,0,0
"Elixir",0,1,0,0
"River Dragons",1,0,0,0
"Formula Motor Racing",1,0,0,0
