name,maxplayers,minage,minplayers,minplaytime,playtime,yearpublished,average,weightaverage,position,usersrated,langdep,mActionMovementProgramming,mActionPointAllowanceSystem,mAreaControlAreaInfluence,mAreaEnclosure,mAreaMovement,mAreaImpulse,mCampaignBattleCardDriven,mCardDrafting,mChitPullSystem,mDeckPoolBuilding,mDiceRolling,mGridMovement,mHandManagement,mHexAndCounter,mLineDrawing,mBusiness,mCoOp,mPatternGames,mRouteGames,mSocial,mMemory,mModularBoard,mPaperAndPencil,mPickUpAndDeliver,mPlayerElimination,mPointToPointMovement,mPressYourLuck,mRockPaperScissors,mRollSpinAndMove,mSecretUnitDeployment,mSetCollection,mSimulation,mSimultaneousActionSelection,mTilePlacement,mTrading,mVariablePhaseOrder,mVariablePlayerPowers,mVoting,mWorkerPlacement,cAbstractStrategy,cActionDexterity,cAdventure,cBook,cBuilding,cCardGame,cChildrensGame,cCollecting,cCrime,cDice,cEconomic,cEducational,cElectronic,cEntertainment,cExploration,cFantasy,cFighting,cHistory,cHorror,cHumor,cIntelligence,cMatureAdult,cMythsAndReligions,cNature,cOthers,cPartyGame,cPrintAndPlay,cRealtime,cScifi,cSocial,cSociety,cSports,cTransportation,cWar,cWordGame,suos_cell,peliaikaAlle30min,peliaika31to60min,peliaika1hto2h,peliaikayli2h,pelaajia1,pelaajia2,pelaajia3tai4,pelaajiaYli4
"Die Macher",5,14,3,240,240,1986,7.66508,4.3477,147,4498,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"Dragonmaster",4,12,3,30,30,1981,6.60815,1.9423,2541,478,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Samurai",4,10,2,30,60,1998,7.44119,2.5085,150,12019,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"Tal der Könige",4,12,2,60,60,1992,6.60675,2.6667,3191,314,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"Acquire",6,12,3,90,90,1964,7.3583,2.5089,181,15195,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"Cathedral",2,8,2,20,20,1978,6.50534,1.8217,1352,2751,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Lords of Creation",5,12,2,120,120,1993,6.14538,2.4,5371,186,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"El Caballero",4,13,2,90,90,1998,6.51776,3.1958,1711,1263,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Elfenland",6,10,2,60,60,1998,6.74996,2.1649,709,6729,0.25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"Bohnanza",7,13,2,45,45,1997,7.06751,1.6777,336,28354,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
